a,SumParityBool,0,eval_input,2020-02-24 01:29:24,1,true,,,,,
a,SumParityBool,1,eval_input,2020-02-24 01:29:33,1 2 3 4,false,,,,,
a,SumParityBool,2,eval_input,2020-02-24 01:29:37,1 2 3 4 5,true,,,,,
a,SumParityBool,3,eval_input,2020-02-24 01:29:39,1 2 3 4 5 6,true,,,,,
a,SumParityBool,4,eval_input,2020-02-24 01:29:48,1 3,false,,,,,
a,SumParityBool,5,eval_input,2020-02-24 01:29:51,1 3 5,true,,,,,
a,SumParityBool,6,eval_input,2020-02-24 01:29:57,1 1 1,true,,,,,
a,SumParityBool,7,eval_input,2020-02-24 01:29:59,1 1 1 1,false,,,,,
a,SumParityBool,8,eval_input,2020-02-24 01:30:03,1 1 1,true,,,,,
a,SumParityBool,9,eval_input,2020-02-24 01:30:07,1 1,false,,,,,
a,SumParityBool,10,eval_input,2020-02-24 01:30:33,1 -1,false,,,,,
a,SumParityBool,11,eval_input,2020-02-24 01:30:41,1 -1 1,true,,,,,
a,SumParityBool,12,eval_input,2020-02-24 01:31:01,1 -1 3 6 7 8 9,true,,,,,
a,SumParityBool,13,eval_input,2020-02-24 01:31:06,1 -1 3 6 7 8 9 8,true,,,,,
a,SumParityBool,14,eval_input,2020-02-24 01:31:11,1 -1 3 6 7 8 9 8 9 9,true,,,,,
a,SumParityBool,15,eval_input,2020-02-24 01:31:15,1 -1 3 6 7 8 9 8 9 9 23 13,true,,,,,
a,SumParityBool,16,eval_input,2020-02-24 01:31:21,1 -1 3 6 7 8 9 8 9 9 23 13 34,true,,,,,
a,SumParityBool,17,eval_input,2020-02-24 01:31:26,1 -1 3 6 7 8 9 8 9 9 23 13 34 12,true,,,,,
a,SumParityBool,18,eval_input,2020-02-24 01:31:30,1 -1 3 6 7 8 9 8 9 9 23 13 34 12 1244,true,,,,,
a,SumParityBool,19,eval_input,2020-02-24 01:31:39,0 1 4,true,,,,,
a,SumParityBool,20,eval_input,2020-02-24 01:31:47,0 1 -22 5,false,,,,,
a,SumParityBool,21,eval_input,2020-02-24 01:31:50,0 1 -22 5 5,true,,,,,
a,SumParityBool,22,eval_input,2020-02-24 01:31:52,0 1 -22 5 5 6,true,,,,,
a,SumParityBool,23,eval_input,2020-02-24 01:32:15,empty,false,,,,,
a,SumParityBool,24,quiz_answer,2020-02-24 01:32:47,333,true,0,true,true,,
a,SumParityBool,25,quiz_answer,2020-02-24 01:32:57,-8 3,false,1,true,false,,
